INFO  - 2020-04-03 15:13:39.254; it.uniroma2.isw2.milestone1.Milestone1; Found 434 fixed bugs in Jira DB!
INFO  - 2020-04-03 15:13:39.254; it.uniroma2.isw2.milestone1.Milestone1; Downloading repository from Git...
INFO  - 2020-04-03 15:13:49.512; it.uniroma2.isw2.milestone1.Milestone1; Retieving data from Jira...
INFO  - 2020-04-03 15:13:50.725; it.uniroma2.isw2.milestone1.Milestone1; Found 434 fixed bugs in Jira DB!
INFO  - 2020-04-03 15:13:50.726; it.uniroma2.isw2.milestone1.Milestone1; Downloading repository from Git...
INFO  - 2020-04-03 15:14:06.127; it.uniroma2.isw2.milestone1.Milestone1; Done! Found 2817 commits in Git!
INFO  - 2020-04-03 15:14:18.675; it.uniroma2.isw2.milestone1.Milestone1; Il tuo file CSV è pronto!
INFO  - 2020-04-03 15:16:10.338; it.uniroma2.isw2.milestone1.Milestone1; Retieving data from Jira...
INFO  - 2020-04-03 15:16:11.466; it.uniroma2.isw2.milestone1.Milestone1; Found 434 fixed bugs in Jira DB!
INFO  - 2020-04-03 15:16:11.467; it.uniroma2.isw2.milestone1.Milestone1; Downloading repository from Git...
INFO  - 2020-04-03 15:16:26.478; it.uniroma2.isw2.milestone1.Milestone1; Done! Found 2817 commits in Git!
INFO  - 2020-04-03 15:16:39.617; it.uniroma2.isw2.milestone1.Milestone1; Il tuo file CSV è pronto!
INFO  - 2020-04-03 15:22:05.965; it.uniroma2.isw2.milestone1.Milestone1; Retieving data from Jira...
INFO  - 2020-04-03 15:22:07.027; it.uniroma2.isw2.milestone1.Milestone1; Found 434 fixed bugs in Jira DB!
INFO  - 2020-04-03 15:22:07.027; it.uniroma2.isw2.milestone1.Milestone1; Downloading repository from Git...
INFO  - 2020-04-03 15:22:21.755; it.uniroma2.isw2.milestone1.Milestone1; Done! Found 2817 commits in Git!
INFO  - 2020-04-03 15:22:35.005; it.uniroma2.isw2.milestone1.Milestone1; Il tuo file CSV è pronto!
INFO  - 2020-04-03 15:31:58.527; it.uniroma2.isw2.milestone1.Milestone1; Retieving data from Jira...
INFO  - 2020-04-03 15:31:59.656; it.uniroma2.isw2.milestone1.Milestone1; Found 434 fixed bugs in Jira DB!
